haul_id	proportion_name	Autumn_%	North_%	Central_%	South_%	Actual_A_count	Actual_N_count	Actual_C_count	Actual_S_count
haul_0153	50A_0N_0C_50S	50	0	0	50	15	0	0	15
haul_0154	50A_0N_0C_50S	50	0	0	50	15	0	0	15
haul_0155	50A_0N_0C_50S	50	0	0	50	15	0	0	15
haul_0156	50A_0N_0C_50S	50	0	0	50	15	0	0	15
haul_0157	50A_0N_0C_50S	50	0	0	50	15	0	0	15
haul_0158	50A_0N_0C_50S	50	0	0	50	15	0	0	15
haul_0159	50A_0N_0C_50S	50	0	0	50	15	0	0	15
haul_0160	50A_0N_0C_50S	50	0	0	50	15	0	0	15
haul_0161	50A_16N_17C_17S	50	16	17	17	15	5	5	5
haul_0162	50A_16N_17C_17S	50	16	17	17	15	5	5	5
haul_0163	50A_16N_17C_17S	50	16	17	17	15	5	5	5
haul_0164	50A_16N_17C_17S	50	16	17	17	15	5	5	5
haul_0165	50A_16N_17C_17S	50	16	17	17	15	5	5	5
haul_0166	50A_16N_17C_17S	50	16	17	17	15	5	5	5
haul_0167	50A_16N_17C_17S	50	16	17	17	15	5	5	5
haul_0168	50A_16N_17C_17S	50	16	17	17	15	5	5	5
haul_0169	50A_16N_17C_17S	50	16	17	17	15	5	5	5
haul_0170	50A_16N_17C_17S	50	16	17	17	15	5	5	5
haul_0171	25A_75N_0C_0S	25	75	0	0	8	22	0	0
haul_0172	25A_75N_0C_0S	25	75	0	0	8	22	0	0
haul_0173	25A_75N_0C_0S	25	75	0	0	8	22	0	0
haul_0174	25A_75N_0C_0S	25	75	0	0	8	22	0	0
haul_0175	25A_75N_0C_0S	25	75	0	0	8	22	0	0
haul_0176	25A_75N_0C_0S	25	75	0	0	8	22	0	0
haul_0177	25A_75N_0C_0S	25	75	0	0	8	22	0	0
haul_0178	25A_75N_0C_0S	25	75	0	0	8	22	0	0
haul_0179	25A_75N_0C_0S	25	75	0	0	8	22	0	0
haul_0180	25A_75N_0C_0S	25	75	0	0	8	22	0	0
